Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2019-01-02,181.2701568603516,67.79150390625,80.91364288330078,309.9599914550781,137.68263244628906,46.350379943847656,224.57000732421875,18.82999992370605,156.9550018310547,13.495584487915039
2019-01-03,174.4446258544922,64.59214019775389,78.24765014648438,302.2900085449219,132.98190307617188,44.70451354980469,215.6999969482422,17.049999237060547,161.85488891601562,13.486068725585938
2019-01-04,181.62139892578125,66.4356689453125,80.76854705810547,313.44000244140625,138.15272521972656,46.48835754394531,226.19000244140625,19.0,157.83953857421875,13.93338394165039
2019-01-07,181.20372009277344,67.43059539794922,81.94738006591797,314.79998779296875,138.63259887695312,47.79914093017578,229.25999450683597,20.56999969482422,160.15530395507812,14.000005722045898
2019-01-08,181.9631500244141,66.62100219726561,82.3282470703125,318.4200134277344,142.13856506347656,49.24789810180664,232.67999267578125,20.75,159.04217529296875,14.323593139648438
2019-01-09,182.55172729492188,67.73297882080078,79.62598419189453,336.3999938964844,142.85345458984375,50.0954704284668,235.42999267578125,20.190000534057614,163.4252166748047,14.295042991638185
2019-01-10,183.7858123779297,67.3818359375,79.9796371459961,335.1300048828125,143.97967529296875,50.60795211791992,237.7700042724609,19.739999771118164,164.0613250732422,14.599597930908205
2019-01-11,182.46630859375,67.62569427490234,80.07938385009766,323.79998779296875,143.2060089111328,45.86746215820313,237.5500030517578,20.270000457763672,158.44581604003906,14.647183418273926
2019-01-14,182.4282989501953,66.90052795410156,77.80294799804688,315.25,141.93289184570312,46.60662460327149,234.55999755859372,20.229999542236328,157.7501220703125,14.31407642364502
2019-01-15,179.36204528808594,69.056396484375,78.48220825195312,325.6099853515625,143.8523712158203,46.16312789916992,242.3600006103516,20.3799991607666,159.3005828857422,14.694768905639648
2019-01-16,179.87466430664062,68.41943359375,78.5280990600586,324.1300048828125,144.82188415527344,46.448936462402344,241.9499969482422,19.729999542236328,161.44737243652344,14.761391639709473
2019-01-17,181.9916534423828,69.10538482666016,80.04266357421875,330.32000732421875,146.0362548828125,46.6953239440918,244.3999938964844,20.25,165.26390075683594,14.74235725402832
2019-01-18,185.93125915527344,69.98734283447266,82.15388488769531,333.739990234375,147.3387451171875,47.94697189331055,247.50999450683597,20.770000457763672,166.5857696533203,14.799461364746096
2019-01-22,182.5137634277344,70.05593872070311,81.3828353881836,336.1300048828125,145.88934326171875,46.37994766235352,243.8500061035156,19.76000022888184,163.12704467773438,14.85656452178955
2019-01-23,182.54222106933597,68.50763702392578,81.1900634765625,336.9800109863281,145.3507080078125,45.35497665405274,245.13999938964844,19.799999237060547,163.32582092285156,15.104015350341795
2019-01-24,182.76055908203125,69.43857574462889,78.83101654052734,348.5,147.04493713378906,46.58691024780274,242.55999755859372,20.850000381469727,155.35484313964844,15.132567405700685
2019-01-25,185.96920776367188,69.72275543212889,73.92932891845703,349.3699951171875,148.70982360839844,47.1092529296875,244.9499969482422,21.93000030517578,152.28372192382812,15.113531112670898
2019-01-28,183.40609741210938,67.66487884521484,70.80838775634766,336.8999938964844,149.09173583984375,46.06457138061523,241.8500061035156,20.18000030517578,153.9136962890625,15.104015350341795
2019-01-29,186.9660186767578,68.29203796386719,71.11131286621094,330.3800048828125,148.87628173828125,45.06916809082031,238.2700042724609,19.25,154.4404296875,15.256292343139648
2019-01-30,189.1683807373047,70.24211120605469,72.57080078125,339.5899963378906,150.90347290039062,45.64078903198242,242.6699981689453,23.09000015258789,158.0681610107422,15.503744125366213
2019-01-31,190.14617919921875,71.51605224609375,73.69983673095703,351.07000732421875,150.3746337890625,46.557350158691406,247.82000732421875,24.40999984741211,158.2271728515625,15.730730056762695
2019-02-01,189.06398010253903,70.90848541259766,73.89260864257812,351.0799865722656,151.5400390625,45.345115661621094,247.3800048828125,24.51000022888184,158.0681610107422,16.009069442749027
2019-02-04,190.0607452392578,71.0456771850586,72.08429718017578,330.4100036621094,153.31260681152344,46.1039924621582,254.7400054931641,24.1299991607666,160.36402893066406,16.153032302856445
2019-02-05,190.9246063232422,71.64344024658203,73.14908599853516,344.2799987792969,154.06668090820312,47.14867401123047,254.82000732421875,23.309999465942386,160.47337341308594,16.268205642700195
2019-02-06,192.30111694335938,72.01581573486328,72.58914947509766,344.7799987792969,153.90997314453125,42.37861633300781,254.3500061035156,23.26000022888184,156.25927734375,16.2969970703125
2019-02-07,189.7095031738281,71.2808609008789,72.67176818847656,341.6099853515625,151.97091674804688,43.324745178222656,253.7400054931641,22.670000076293945,162.13316345214844,16.421770095825195
2019-02-08,189.6905212402344,71.85902404785156,73.13072204589844,341.2099914550781,152.37245178222656,42.782691955566406,257.0,23.04999923706055,161.41757202148438,16.527345657348633
2019-02-11,190.72525024414062,72.0648193359375,73.22251892089844,354.9200134277344,152.10804748535156,39.53038024902344,258.3900146484375,22.959999084472656,164.12094116210938,16.469758987426758
2019-02-12,196.09832763671875,73.55431365966797,73.36939239501953,358.0799865722656,153.39096069335938,41.067832946777344,261.3699951171875,22.81999969482422,166.8640594482422,16.488956451416016
2019-02-13,199.0886688232422,72.8879623413086,74.15879821777344,361.5,154.76197814941406,43.92593002319336,260.23001098632807,22.85000038146973,165.44281005859375,16.35458755493164
2019-02-14,195.88645935058597,72.48619079589844,73.91095733642578,357.82000732421875,154.58572387695312,44.77350234985352,260.1400146484375,23.1299991607666,167.70887756347656,16.373783111572266
2019-02-15,199.64303588867188,73.74051666259766,74.21387481689453,362.05999755859375,155.93716430664062,43.95549774169922,259.45001220703125,23.68000030517578,168.95126342773438,16.239412307739258
